ville,historic,building,amenity,tourism,name,name:ar,lat,lon,surface_m2
Tunis,ruins,,,,,,36.60479577045118,10.172521080242333,4691.713154698082
Tunis,yes,yes,,,برج الهوارية,برج الهوارية,37.048940829023834,11.070639443359129,364.32480095297853
Tunis,ruins,,,,,,37.05564654286904,10.055332003504565,12562.617503155065
Tunis,archaeological_site,,,,أوتيك,عُتيقة,37.056020198996265,10.059471610662985,714513.5823512353
Tunis,ruins,,,,,,37.05662617268525,10.062116153954712,8180.920192170693
Tunis,,yes,,museum,Musée national d'Utica,,37.050662571949914,10.056942096234918,99.96807332939227
Tunis,ruins,,,,,,37.05256712195195,10.057327067164644,4028.6217260686835
Tunis,,,place_of_worship,,,,36.716114767861136,10.726520859356741,12853.642350635619
Tunis,,yes,place_of_worship,,الكنيسة الأرتودكسية اليونانية,الكنيسة الأرتودكسية اليونانية,36.800661370767685,10.178849392797726,358.67752298211053
Tunis,,yes,place_of_worship,,كاتدرائية تونس,كاتدرائية تونس,36.80011088152627,10.178925282404387,2062.9176143209465
Tunis,,yes,place_of_worship,,Mosquée Eltabek,,36.877960899841575,10.314032807879888,2167.708658827661
Tunis,,,,museum,المتحف الأقيانوسي «دار الحوت» بصلامبو,المتحف الأقيانوسي «دار الحوت» بصلامبو,36.84355161493672,10.326281844471215,17239.038392312676
Tunis,,yes,place_of_worship,,,,36.84083556849406,10.20537298540151,1703.2798420844401
Tunis,,yes,place_of_worship,,,,36.76874897738893,10.237992914435416,1810.8469850365143
Tunis,,yes,,museum,قصر سعيد,,36.81141368760376,10.129513201940055,4551.590957375838
Tunis,,yes,,museum,متحف الحديقة الوطنية بإشكل,متحف الحديقة الوطنية بإشكل,37.138358490525945,9.692660630582086,384.63582964318954
Tunis,,,place_of_worship,,Mosquée El Ghazeli,,35.84646780097729,10.61604183388238,4228.636978071018
Tunis,,yes,place_of_worship,,,,36.8643544492355,10.1994520304037,1963.6523553294012
Tunis,,,,museum,مدينة العلوم,مدينة العلوم,36.84827924218163,10.188827990982222,60692.004057962615
Tunis,,,place_of_worship,,جامع الصبح,جامع الصبح,36.84850060565214,10.195163845609848,3334.7110925372654
Tunis,,,place_of_worship,,,,36.87809003323275,10.266458747032898,1221.0798406582296
Tunis,yes,train_station,,,محطة تونس للشحن,محطة تونس للشحن,36.79296968173353,10.188884699058708,1038.643319928049
Tunis,city_gate,yes,,,باب بحر,باب بحر,36.79917740130404,10.175618079614866,133.35604544469763
Tunis,,yes,place_of_worship,,,,36.7917146512053,10.170024257630397,1277.445451114961
Tunis,city_gate,yes,,attraction,باب الجديد,باب الجديد,36.7924528,10.1711282,218.09255915408238
Tunis,,,place_of_worship,,جامع الهواء,جامع الهواء,36.79276465779309,10.165175574565739,2273.9477359934654
Tunis,,mosque,,,,,36.79272280310886,10.165245649446831,1281.462932979554
Tunis,,yes,place_of_worship,,,,36.80602247177238,10.16799769807658,527.7243123156319
